target_date,proposed_framework_margin_CNY,plant_original_strategy_margin_CNY,perfect_information_benchmark_margin_CNY,incremental_decision_value_CNY
2026-02-05,-723924.6211735434,-791537.9849476237,-714988.9492957747,67613.3637740803
2026-02-06,-848109.7492957746,-890885.3078682516,-848109.7492957746,42775.55857247696
2026-02-07,-841764.3492957746,-879653.4042406107,-841764.3492957746,37889.05494483607
2026-02-08,-2229883.5492957747,-2270129.683778866,-2229883.5492957747,40246.13448309153
2026-02-09,-924462.4292081867,-968823.2041059274,-923308.7492957746,44360.77489774069
2026-02-10,-704448.2811078345,-793919.8954208302,-704448.2811078345,89471.61431299569
2026-02-11,-2020602.7492957746,-2074201.598757519,-2020602.7492957746,53598.84946174431
