sample_id,code,target_date,pred_t01,pred_t02,pred_t03,pred_t04,pred_t05,pred_t06,pred_t07,pred_t08,pred_t09,pred_t10,pred_t11,pred_t12,pred_t13,pred_t14,pred_t15,pred_t16,pred_t17,pred_t18,pred_t19,pred_t20,pred_t21,pred_t22,pred_t23,pred_t24,pred_t25,pred_t26,pred_t27,pred_t28,pred_t29,pred_t30,pred_t31,pred_t32,pred_t33,pred_t34,pred_t35,pred_t36,pred_t37,pred_t38,pred_t39,pred_t40,pred_t41,pred_t42,pred_t43,pred_t44,pred_t45,pred_t46,pred_t47,pred_t48
DEMO_UNIT_2026-02-05,DEMO_UNIT,2026-02-05,317.6051551437378,311.195827293396,306.5530786514282,301.5359887084961,299.05951976776123,296.84178924560547,292.86227798461914,290.62728118896484,287.94635009765625,282.8940906524658,282.25985527038574,283.119441986084,287.06080627441406,294.98826287841797,305.5111330871582,307.7696244430542,318.1690656280518,315.18359634399417,308.37008082580564,302.7395335540771,298.857120803833,296.55566874694824,288.3690560455322,300.70590132522585,286.4588211212158,289.9073510932922,289.9782185058594,273.8329734802246,277.2640594558716,282.68350459289553,285.8214473724365,279.6152398834229,285.03944241333005,303.71495246887207,303.03096771240234,301.5893783569336,305.7548027038574,304.36585998535156,303.0382080078125,302.27362060546875,297.7439937591553,302.41433334350586,296.51385498046875,296.70351791381836,300.75158137512204,303.6824958190918,304.29332371520997,293.2242209472656
DEMO_UNIT_2026-02-06,DEMO_UNIT,2026-02-06,282.5235290527344,290.1254463195801,287.62252616882324,288.0982360839844,291.13206408691406,287.58971405029297,283.54125213623047,277.2970199584961,271.2415084838867,264.7325096130371,261.95461654663086,259.8313179016113,259.69429779052734,258.5606498718262,263.02698516845703,266.93309783935547,280.7879733886719,271.1526149902344,268.5136767272949,275.5778388977051,279.33124923706055,281.1888008117676,281.9292907714844,299.13096809387207,300.69399070739746,305.13348960876465,299.6881380081177,281.91536808013916,282.0817241668701,284.71702098846436,283.29570010375977,285.63740997314454,286.9023628234863,287.90563583374023,283.84636306762695,281.32079887390137,287.2322120666504,285.8612720336914,284.2281379699707,284.3288912963867,286.43817346191406,292.0420395812988,285.8007121582031,283.6127269897461,290.76688385009766,297.161683013916,297.7731910095215,271.09888638305665
DEMO_UNIT_2026-02-07,DEMO_UNIT,2026-02-07,266.59510220336915,260.00110528564454,261.289515625,268.40194511413574,274.04912130737307,273.504596572876,271.3322296142578,269.3024929046631,267.5916271209717,265.6431083679199,265.16060638427734,265.7846202850342,265.0879821777344,260.37793731689453,267.66040802001953,279.3499932861328,286.14453779602053,274.1938934326172,275.4492950439453,273.2401978149414,269.9023377685547,262.301082611084,247.53477380371095,262.1614406738281,241.22283441162108,238.90193890380857,228.313259765625,213.35107232666013,212.2553293457031,218.34424041748048,224.48314544677737,231.48301446533202,241.32450659179688,252.33173913574217,257.87182806396487,264.95720181274413,271.772715423584,277.1762303466797,278.1079006042481,276.8066864013672,277.86555700683596,276.46229067993164,274.27608532714845,274.89664437866213,273.529469039917,281.1303204650879,282.64205047607425,271.3949956970215
DEMO_UNIT_2026-02-08,DEMO_UNIT,2026-02-08,252.56154583740232,252.06617086791994,248.60341220092772,252.18474578857422,254.50475720214843,251.93643188476562,248.74699783325195,247.56649780273438,246.10654067993164,241.03084564208984,240.67549896240234,241.25149154663086,239.54666137695312,240.69327926635742,242.90393447875977,241.1994818115234,235.89967834472657,205.5193741455078,203.7113041381836,197.69774407958982,195.21157977294922,197.88743041992188,200.70533575439453,193.1011657104492,183.32086944580078,180.92647412109375,183.60316613769533,190.00637817382812,191.25665283203125,184.67825317382812,176.9729766845703,175.86425018310547,187.15335845947266,209.4800665893555,224.7309112548828,239.4273681640625,248.5124150390625,255.88366317749023,260.92307922363284,262.2241470031738,267.5857629699707,270.4628250732422,270.01929473876953,270.4998245239258,272.4245910644531,279.9110298156738,283.1744870605469,275.5247950134277
DEMO_UNIT_2026-02-09,DEMO_UNIT,2026-02-09,321.81910133361816,312.18208932876587,305.0422086715698,298.6564927101135,286.99670795440676,277.75705909729004,279.80193361663817,280.0057964324951,275.35453605651855,283.14218854904175,274.9440059661865,266.8649139404297,284.75234508514404,295.5085298538208,290.1793575286865,284.28504180908203,273.77207336425784,224.27241467285154,64.84525827026367,-93.82538604736328,-100.71993255615234,-92.77775573730469,-92.259765625,-79.6013412475586,-90.05975341796875,-111.02493286132812,-111.86605834960938,-108.97480010986328,-103.2732162475586,-86.65645599365234,-76.9808578491211,-52.69122314453125,307.21546850585935,321.56842907714844,304.4191093444824,308.8076982498169,303.4137897491455,316.9861363172531,296.790979385376,282.6280403137207,296.4727039337158,291.61569595336914,286.8935146331787,283.6957759857178,277.3575038909912,270.9773368835449,279.3525276184082,278.5465087890625
DEMO_UNIT_2026-02-10,DEMO_UNIT,2026-02-10,251.68817138671875,277.77844619750977,269.65140533447266,267.456372833252,278.63564414978026,282.9431838989258,282.71380815124513,284.3642265319824,281.50622749328613,283.8210563659668,284.52832317352295,290.0770626068115,288.74616050720215,298.0797882080078,315.5462818145752,324.579553604126,310.3753884277344,287.5470252304077,277.3260769844055,249.22853438568114,262.8375701904297,259.70312881469727,213.21941256713868,268.3754414520264,262.42646713256835,229.86972045898438,160.33897257232667,-83.26981353759766,212.0846939086914,267.51496467590334,287.5144207382202,295.7704273223877,289.52349853515625,290.536075592041,305.3772932128906,295.9118591003418,300.8419889831543,301.6933898925781,312.92342948913574,314.46664237976074,319.4460725784302,315.44019290161134,303.6134567260742,302.48051834106445,305.6178321838379,301.39933013916016,313.23999214172363,313.5913067932129
DEMO_UNIT_2026-02-11,DEMO_UNIT,2026-02-11,294.4256401062012,279.26002755737306,276.7844176940918,269.86117193603513,277.78228009033205,281.8279184875488,289.95662689208984,278.6134490966797,271.0575538635254,268.82430111694333,269.0291181335449,267.6267873535156,266.5656199035644,264.88457638549806,266.31315994262695,266.5537872314453,257.52516174316406,205.1427275390625,198.01800225830078,206.14978466796873,216.2117418823242,219.9990005493164,217.23297564697265,207.14361755371095,193.5085220336914,194.25646209716797,216.21736755371091,227.27613067626953,222.52011108398438,208.23307165527342,198.0674535522461,199.5153607788086,193.1771231689453,200.39735412597656,226.2883667602539,244.61030786132812,254.52225494384766,263.09561920166016,269.20597076416016,273.1464080810547,279.54575082397463,282.82239151000977,283.33512451171873,284.65837478637695,289.3369312286377,291.54647299194335,300.61193084716797,293.20873776245116
